Rank,Name,Position,Age,Scoring_grade,Passing_grade,Rebounding_grade,Rating,Efficiency,Turnover_grade,Overall,Salary
131,Caleb Martin,F,26.46,5,5,6,10,10,10,7.916666666666670,3500
132,Cody Martin,F,26.46,5,5,6,10,10,10,7.916666666666670,3500
133,Garrison Mathews,G,25.38,6,5,5,10,9,8,7.416666666666670,2000
134,Tyrese Maxey,G,21.35,7,6,5,10,10,8,7.916666666666670,1000
135,CJ McCollum,G,30.48,8,6,6,10,9,9,8.300000000000000,3500
136,T.J. McConnell,G,29.97,5,6,5,10,8,10,7.583333333333330,2000
137,Jaden McDaniels,F,21.45,5,5,6,7,8,8,6.75,1000
138,Doug McDermott,F,30.19,6,5,5,10,10,5,7.108333333333330,2000
139,De'Anthony Melton,G,23.8,5,5,6,7,8,10,7.133333333333330,2000
140,Khris Middleton,F,30.59,8,7,7,9,9,10,8.708333333333330,5000
